username,commentor,URL,Date,Time,Likes,Captions,Comments
vangalapudianitha,yogi.143p1664,https://www.instagram.com/vangalapudianitha/p/C6vCVdYSk1S/,2024-05-09,11:37:48,,,❤️❤️❤️❤️🙌🙌🙌🙌🔥🔥🔥🔥🔥🔥😍😍😍
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/Ca1-O7jl9jk/,2022-03-08,12:45:18,178,"అంతర్జాతీయ మహిళా దినోత్సవం రోజున నాకు శుభాకాంక్షలు తెలిజేసిన ప్రతీ ఒక్కరికీ ధన్యవాదాలు. జగన్మోహన్ రెడ్డి దుర్మార్గపు పాలనను అంతమొందించదానికి మరియు శ్రీ నారా చంద్రబాబు నాయుడు గారిని తిరిగి ముఖ్యమంత్రి ని చేయడానికి మీ సహాయ సహకరాలను కోరుకుంటూ...

#TDPWillBeBack 
#NaraChandrababuNaidu 
#InternationalWomensDay2022",
vangalapudianitha,srikanthkrishnaroyal,https://www.instagram.com/vangalapudianitha/p/Ca1-O7jl9jk/,2022-03-08,15:12:42,,,🔥🔥🔥allweas suport in TDP mm
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DNx612i3kNP/,2025-08-25,13:39:47,252,"*A Leader Who Delivers Promises Made On The Ground, Fulfilled In Government.*

#LokeshKeepsDSCpromise
#MegaDSCInAndhraPradesh
#IdhiManchiPrabhutvam
#NaraLokesh
#ChandrababuNaidu
#AndhraPradesh
#AnithaVangalapudi
#HomeMinisterAnitha",
vangalapudianitha,venu_poranki,https://www.instagram.com/vangalapudianitha/p/DNx612i3kNP/,2025-08-25,13:50:48,,,🙏
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DDuEgTHzXFD/,2024-12-18,12:33:20,827,"పాయకరావుపేట నియోజకవర్గ నిరుద్యోగ యువతీయువకులకు ఉద్యోగాల కల్పన కోసం ఆంధ్రప్రదేశ్ నైపుణ్యాభివృద్ధి సంస్థ ఆధ్వర్యంలో  మెగా జాబ్ మేళా నర్వహించబోతున్నట్టు రాష్ట్ర హోం మరియు విపత్తు నిర్వహణ శాఖ మంత్రి శ్రీమతి వంగలపూడి అనిత తెలిపారు. మెగా జాబ్ మేళాకు సంబంధించిన పోస్టర్ ను రెవెన్యూ శాఖ మంత్రి శ్రీ అనగాని సత్యప్రసాద్ గారితో  కలసి ఆవిష్కరించారు. సుమారు 50కి పైగా కంపెనీలు పాల్గొనే మెగా జాబ్ మేళాను నిరుద్యోగులు సద్వినియోగం చేసుకోవాలని సూచించారు. 

#JobMela #MegaJobMela #Seedap #VangalapudiAnitha #HomeMinisterAnitha #ManaPayakaraoPetaManaAnitha #APSSDC #AndhraPradesh #ChandrababuNaidu #NaraLokesh",
vangalapudianitha,rajuyadau123456789,https://www.instagram.com/vangalapudianitha/p/DDuEgTHzXFD/,2024-12-19,15:33:27,,,Suppar ❤️
vangalapudianitha,_psmahesh_,https://www.instagram.com/vangalapudianitha/p/DDuEgTHzXFD/,2024-12-19,07:06:04,,,Super 👏👏 anitha amma
vangalapudianitha,cherukurinageswarar,https://www.instagram.com/vangalapudianitha/p/DDuEgTHzXFD/,2024-12-18,15:02:15,,,👌👍👍✌️✌️✌️🙏
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/CwDO-ZlL3C0/,2023-08-17,15:20:58,683,పాయకరావుపేట ఎస్ రాయవరం మండలం కోరుప్రోలు గ్రామంలో  సర్పంచ్ ఎన్నికల ప్రచారంలో పాల్గొనడం జరిగింది,
vangalapudianitha,janiyadav141,https://www.instagram.com/vangalapudianitha/p/CwDO-ZlL3C0/,2023-08-18,01:26:11,,,Jai anitha akka
vangalapudianitha,prasad.masa.1,https://www.instagram.com/vangalapudianitha/p/CwDO-ZlL3C0/,2023-08-17,15:29:57,,,జై అనితమ్మ ✌️✌️
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/C6V6ytyrUJ0/,2024-04-29,10:44:08,613,"పాయకరావుపేట నియోజకవర్గ ఎస్ రాయవరం మండల గుర్రాజుపేట గ్రామానికి చెందిన 25 కుటుంబాలు వైస్సార్సీపీ ని వీడి నియోజకవర్గ ఎన్డీఏ ఎమ్మేల్యే  అభ్యర్థిని వంగలపూడి అనిత  గారి సమక్షంలో టీడీపీ లో చేరారు..అనిత  గారు వీరికి టీడీపీ  కండువాలు  వేసి  పార్టీ లోకి సాదరంగా  ఆహ్వానించారు....పార్టీలో చేరిన వారికి కృతజ్ఞతలు తెలియజేసారు...కార్యక్రమంలో టిడిపి శ్రేణులు పెద్ద సంఖ్యలో పాల్గొన్నారు.... 
#VoteForCycle #JaruguJagan #EndOfYCP #YCPAntham #TDPJSPBJPWinning #BabunuMalliRappidham #AndhraPradesh #AllianceForABetterFuture📷#JSP📷#BJP📷#TDP #PawanKalyan #CBN #TeluguDesamParty #NaraLokesh #VoteForCycle #anithaammaforpayakaraopeta #jaibjp #jaijanasena #tdpforpeople #pawankalyan #bjp #tdpjanasenabjpallience #tdpforpeople #pawankalyan #bjp",
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DNdpEzWPicq/,2025-08-17,16:39:45,"1,622","ఏడాది పాలనలో కూటమి ప్రభుత్వం చేపడుతున్న ప్రజా సంక్షేమ విధానాలు నచ్చి ఎంతోమంది తెలుగుదేశం పార్టీలో చేరుతున్నారు. నక్కపల్లి మండలం నెల్లిపూడి గ్రామ సర్పంచ్ కొలుకులూరి సురేష్ వర్మ వైసీపీని వీడి తెలుగుదేశం పార్టీలో చేరారు. నెల్లిపూడి గ్రామంలో పర్యటన నేపథ్యంలో వారికి పార్టీ కండువా కప్పి తెలుగుదేశం పార్టీలోకి ఆహ్వానించడం జరిగింది. వారితోపాటు సుమారు 50 కుటుంబాలు టీడీపీలో చేరడం జరిగింది. కూటమి ప్రభుత్వ పాలనలో నెల్లిపూడి ప్రగతి పథంలో నడిపిస్తాము. 

#IdhiManchiPrabhutvam #AndhraPradesh #ChandraBabuNaidu #NaraLokesh #VangalapudiAnitha #HomeMinisterAnitha",
vangalapudianitha,venu_poranki,https://www.instagram.com/vangalapudianitha/p/DNdpEzWPicq/,2025-08-18,03:37:08,,,🙏
vangalapudianitha,sunkarinaaiidu,https://www.instagram.com/vangalapudianitha/p/DNdpEzWPicq/,2025-08-18,11:58:09,,,👏👏👏👏👏👏
vangalapudianitha,sunkarinaaiidu,https://www.instagram.com/vangalapudianitha/p/DNdpEzWPicq/,2025-08-18,04:14:02,,,👏
vangalapudianitha,vangalapudiprasanna8336,https://www.instagram.com/vangalapudianitha/p/DNdpEzWPicq/,2025-08-18,05:05:17,,,😍
vangalapudianitha,bolleenl,https://www.instagram.com/vangalapudianitha/p/DNdpEzWPicq/,2025-08-17,16:50:51,,,Vangalapudianitha sports mla TDp
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DIf5yxAzZ3G/,2025-04-16,07:17:26,"3,190","సింహాచలంలో వెలసిన శ్రీ వరాహలక్ష్మీ నరసింహస్వామి వారిని సహచర మంత్రులు శ్రీ @anam_ramnarayanareddy గారు, @anagani_satyaprasad గారు, @dr.swamydola గారు, భీమిలి ఎమ్మెల్యే శ్రీ @gantasrinivasarao_official గారు, మ్యారిటైం బోర్డు ఛైర్మన్ @satya_damacharla గారితో కలిసి దర్శించుకున్నాను. అధికారులు ఆలయ మర్యాదలతో స్వాగతం పలకగా.. వేద పండితులు ఆశీర్వదించి తీర్ధప్రసాదాలు అందజేశారు. 

#SimhachalamTemple #MinisterAnam #MinisterAnagani #MinisiterDolaBalaveeranjeyaSwamy #MlaGantaSrinivasarao #VangalapudiAnitha #HomeMinisterAnitha #VangalapudiAnithaArmy",
